insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,2014_extra_travail_commune
9047,BELESTA,9,9160,LAVELANET,9,42.89347078,1.952743897,61,1011,510,1031,749,18198,42.93368673,1.845869535,883,9.8,13.4,21,14.7,63,414,341,130,80,284,262,110,102
9060,BONNAC,9,9225,PAMIERS,9,43.17262714,1.587036676,12,722,312,752,508,19033,43.12348607,1.61523399,2853,5.9,6.8,13,8.6,35,284,0,36,0,248,0,116,0
9066,BRASSAC,9,9122,FOIX,9,42.93221448,1.512431708,8,644,285,633,438,19622,42.96585023,1.610374959,2583,8.8,12.7,20,12.0,51,0,304,0,69,0,235,0,105
9099,COS,9,9122,FOIX,9,42.98015928,1.569219399,7,406,166,406,275,24590,42.96585023,1.610374959,2583,3.7,5.5,8,5.0,22,175,0,12,0,163,0,101,0
9104,DALOU,9,9225,PAMIERS,9,43.02887623,1.648217761,10,753,316,779,524,20626,43.12348607,1.61523399,2853,10.9,20.1,18,13.4,55,315,0,26,0,290,0,119,0
9121,FERRIERES-SUR-ARIEGE,9,9122,FOIX,9,42.93829586,1.607262842,62,848,339,769,529,21584,42.96585023,1.610374959,2583,3.1,6.2,14,4.0,23,328,352,45,68,283,284,138,124
9122,FOIX,9,9160,LAVELANET,9,42.96585023,1.610374959,2583,9721,4700,9384,6788,19268,42.93368673,1.845869535,883,19.5,23.9,28,24.5,108,3889,0,2333,0,1556,0,106,0
9122,FOIX,9,9264,SAINT-JEAN-DE-VERGES,9,42.96585023,1.610374959,2583,9721,4700,9384,6788,19268,43.01298965,1.632771658,188,5.6,8.5,13,11.4,49,3889,3373,2333,2152,1556,1221,159,120
9122,FOIX,9,9225,PAMIERS,9,42.96585023,1.610374959,2583,9721,4700,9384,6788,19268,43.12348607,1.61523399,2853,17.5,23.2,21,21.9,91,3889,3373,2333,2152,1556,1221,289,223
9130,GANAC,9,9122,FOIX,9,42.93074412,1.559793168,5,689,309,685,478,20916,42.96585023,1.610374959,2583,5.7,8.0,24,8.6,39,288,0,45,0,244,0,114,0
9157,LAROQUE-D'OLMES,9,9160,LAVELANET,9,42.96756232,1.87181603,299,2490,1185,2519,1790,17716,42.93368673,1.845869535,883,4.3,5.3,9,5.2,23,911,801,380,299,531,501,148,127
9160,LAVELANET,9,9225,PAMIERS,9,42.93368673,1.845869535,883,6245,2903,5945,4271,16866,43.12348607,1.61523399,2853,28.2,37.7,43,38.3,167,1802,0,965,0,837,0,108,0
9160,LAVELANET,9,9157,LAROQUE-D'OLMES,9,42.93368673,1.845869535,883,6245,2903,5945,4271,16866,42.96756232,1.87181603,299,4.3,5.3,9,4.9,22,1802,1699,965,992,837,707,162,152
9160,LAVELANET,9,9122,FOIX,9,42.93368673,1.845869535,883,6245,2903,5945,4271,16866,42.96585023,1.610374959,2583,19.5,23.9,27,24.5,109,1802,1699,965,992,837,707,128,147
9167,LEZAT-SUR-LEZE,9,31555,TOULOUSE,31,43.28021033,1.344768031,283,2351,958,2220,1512,19544,43.59638143,1.431672934,71878,35.9,50.6,45,43.6,184,958,887,394,336,564,551,216,186
9185,MAZERES,9,9225,PAMIERS,9,43.23054544,1.679055382,554,3810,1529,3575,2418,18701,43.12348607,1.61523399,2853,13.0,18.5,16,14.7,59,1423,1433,669,626,754,807,177,154
9185,MAZERES,9,31555,TOULOUSE,31,43.23054544,1.679055382,554,3810,1529,3575,2418,18701,43.59638143,1.431672934,71878,45.3,67.5,49,54.4,238,1423,1433,669,626,754,807,131,129
9188,MERCUS-GARRABET,9,9122,FOIX,9,42.87951718,1.644218023,65,1144,512,1187,814,19013,42.96585023,1.610374959,2583,10.0,12.8,16,15.1,66,471,0,98,0,374,0,106,0
9207,MONTGAILLARD,9,9122,FOIX,9,42.93776398,1.643701443,85,1423,665,1449,1020,20567,42.96585023,1.610374959,2583,4.1,4.3,6,4.3,17,547,490,118,92,429,398,204,145
